title,synopsis,genre_id
2020 Super Baseball,Futuristic baseball with robots and high-tech arenas.,
3 Ninjas Kick Back,Play as kid ninjas in action-packed levels. Based on the movie.,
3x3 Eyes: Juuma Houkan,RPG based on the manga; explore a world of magic and demons.,
3x3 Eyes: Seima Kourinden,Sequel with more dungeons and supernatural combat.,
4 Nin Shougi,Japanese chess (Shougi) for up to four players.,
90 Minutes: European Prime Goal | J.League Soccer Prime Goal 3,Arcade-style soccer featuring real teams and fast gameplay.,
Aaahh!!! Real Monsters,Control three monsters through creepy cartoon-themed platforming.,
ABC Monday Night Football,Classic American football with TV-style presentation.,
Accele Brid,High-speed mech shooter with futuristic stages.,
Ace wo Nerae! | Aim for the Ace,Tennis game based on a sports anime.,
ACME Animation Factory,Make cartoons with Looney Tunes characters.,
Acrobat Mission,Side-scrolling shooter with unique weapons and fast-paced action.,
Action Pachio,Platformer starring a pachinko mascot on a quirky adventure.,
ActRaiser,Mix of action platforming and god-sim city building.,
ActRaiser 2,Focuses entirely on tough action-platforming with divine themes.,
Addams Family Values,Top-down action RPG; rescue baby Pubert from dark forces.,
Advanced Dungeons & Dragons: Eye of the Beholder,"Dungeon crawler with party-based, first-person exploration.",
Adventures of Yogi Bear,Simple platformer where Yogi tries to save Jellystone Park.,
Aero Fighters,Vertical shooter with multiple pilots and explosive action.,
Aero the Acro-Bat,Acrobatic bat hero in a circus-themed platform adventure.,
Aero the Acro-Bat 2,Sequel with better level design and more tricks.,
Aerobiz,"Run an airline, expand routes, and dominate the skies.",
Aerobiz Supersonic,Airline sim sequel with modern aircraft and expanded gameplay.,
AIII S.V. - A Ressha de Ikou 3 - Super Version,Train and city management simulation with detailed systems.,
Air Cavalry,Helicopter combat missions with pseudo-3D effects.,
Akazukin Chacha,RPG based on a magical girl anime; lighthearted fantasy adventure.,
Al Unser Jr's Road to the Top,Race through various motorsport tiers to reach Indy level.,
Aladdin,Disney-based platformer with fluid animation and magic carpet rides.,
Albert Odyssey,Tactical fantasy RPG with turn-based battles.,
Albert Odyssey 2: Jashin no Taidou,Expanded sequel with more story and strategic combat.,
Alcahest,Real-time action RPG with co-op and mystical allies.,
Alice no Paint Adventure,Kids’ art and mini-game collection starring Alice from Wonderland.,
Alien 3,Dark side-scrolling shooter where you rescue prisoners from xenomorphs.,
Alien vs. Predator,Beat-’em-up where you play as a Predator hunting aliens.,
American Battle Dome,Pinball-style competitive game with fast-paced scoring.,
American Gladiators,Compete in TV show-style mini-games like Joust and Powerball.,
American Oudan Ultra Quiz,Trivia game with questions based on traveling across America.,
An American Tail: Fievel Goes West,Platformer based on the film; help Fievel survive the Wild West.,
Ancient Magic: Bazoo! Mahou Sekai,Turn-based RPG with a strong focus on elemental magic.,
Andre Agassi Tennis,"Tennis game featuring Andre Agassi, with basic tournament play.",
Angelique,Dating sim meets empire-building; romance celestial guardians.,
Angelique - Voice Fantasy,"Adds voice acting to deepen the romantic, strategic experience.",
Animaniacs,Platformer with puzzle elements and parodies of Hollywood films.,
Aoki Densetsu Shoot!,Soccer RPG with anime-style drama and character development.,
Appleseed: Oracle of Prometheus,Cyberpunk action-RPG based on the Appleseed manga.,
Arabian Nights: Sabaku no Seirei Ou | Arabian Nights: Desert Spirit King,RPG set in a desert world with spirit companions and magic.,
Araiguma Rascal,Gentle platformer based on the Rascal anime; explore nature.,
Arcana | Card Master,First-person RPG with card-themed magic and turn-based battles.,
Archer MacLeans Super Dropzone,Classic arcade shooter defending Earth from alien invaders.,
Arcus Spirits | Arcus Odyssey,Isometric action RPG with fantasy elements and co-op play.,
Ardy Lightfoot,Platformer with puzzle elements and a cute animal sidekick.,
Aretha,Traditional turn-based RPG featuring a young female protagonist.,
Aretha II: Ariel no Fushigi na Tabi,Sequel with expanded story and deeper RPG mechanics.,
Arkanoid: Doh It Again,Classic brick-breaking arcade gameplay with new stages and power-ups.,
Armored Police Metal Jack | Kikou Keisatsu Metal Jack,Action game based on the mecha anime; battle criminals in armored suits.,
Art of Fighting,1v1 fighting game with large sprites and cinematic special moves.,
Asahi Shinbun Rensai: Katou Ichi-Ni-San Shougi: Shingiryuu,Traditional Japanese shougi game based on a newspaper column.,
Asameshimae Nyanko,Cute cat-themed mini-games with a lighthearted tone.,
Ashita no Joe,Boxing game based on the classic manga; dramatic fights and story elements.,
Astérix,Platformer based on the comic; punch Romans and explore Gaul.,
Astérix & Obélix,Co-op platformer with cartoon-style visuals and comic-based humor.,
Axelay,Sci-fi shooter with both vertical and horizontal stages; known for its graphics and music.,
Bahamut Lagoon,Tactical RPG where you command dragons in grid-based battles.,
Bakukyuu Renpatsu!! Super B-Daman,Toy-themed action game based on marble shooting mechanics.,
Bakumatsu Kourinden Oni,Historical RPG with Japanese folklore themes and turn-based combat.,
Bakutou Dodgers: Bumps-jima wa Oosawagi,Wacky dodgeball-themed party game with cartoon visuals.,
Ball Bullet Gun,Strategy game mixing tanks and sci-fi in grid-based combat.,
Ballz 3D,3D fighting game where characters are made entirely of spheres.,
Barbarossa,Turn-based war strategy game set during WWII in Europe.,
Barbie: Super Model,Fashion and driving mini-games starring Barbie.,
Barkley Shut Up and Jam! | Barkley's Power Dunk,Street-style basketball game featuring Charles Barkley.,
Bass Masters Classic,Fishing sim with tournaments and real-world lakes.,
Bass Masters Classic: Pro Edition,Expanded version with more pro-level content and improved AI.,
Bassin's Black Bass | Super Black Bass 2,Realistic fishing simulator with gear upgrades and weather systems.,
Bastard!! Ankoku no Hakaishin,Dark fantasy action-RPG based on the manga; magic and mayhem.,
Batman Forever,Beat-’em-up with digitized actors and confusing controls.,
Batman Returns,Stylish beat-’em-up based on the Tim Burton movie.,
Battle Blaze,1v1 weapon-based fantasy fighting game with story mode.,
Battle Cars,Post-apocalyptic racing with vehicle combat and power-ups.,
Battle Clash,Super Scope rail shooter with giant mech battles.,
"Battle Commander – Hachibushuu, Shura no Heihou","Shura no Heihou, Tactical RPG with futuristic warfare and anime aesthetics.",
Battle Cross,Top-down futuristic racing with hazards and power-ups.,
Battle Dodge Ball,Super-deformed characters play dodgeball; crossover of anime franchises.,
Battle Dodge Ball 2,Sequel with more characters and refined gameplay.,
Battle Grand Prix,Formula racing sim with pit stops and first-person perspective.,
Battle Jockey,Horse racing game with combat-style mechanics and power-ups.,
Battle Master: Kyuukyoku no Senshitachi,Isometric action-RPG with medieval fantasy combat.,
Battle Pinball,Pinball game with themed tables based on famous franchises.,
Battle Racers,"Kart racing game with characters from Ultraman, Gundam, and more.",
